det1_tracker_vertex_Vertex_5_8  |                root  |det1_tracker_vertex_Vertex_5_8  |      -11.544269765142*cm 9.68683310425177*cm 5*cm  |   0*deg 0.025*rad -43.0040108228553*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50508 
det1_tracker_vertex_Vertex_5_9  |                root  |det1_tracker_vertex_Vertex_5_9  |     -14.1611556376504*cm 5.15427696250822*cm 5*cm  |   0*deg 0.025*rad -63.0045837975489*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50509 
det1_tracker_vertex_Vertex_5_10  |                root  |det1_tracker_vertex_Vertex_5_10  | -15.0699999999469*cm 3.99895981858256e-05*cm 5*cm  |   0*deg 0.025*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50510 
det1_tracker_vertex_Vertex_5_11  |                root  |det1_tracker_vertex_Vertex_5_11  |    -14.1611829921244*cm -5.15420180663951*cm 5*cm  |   0*deg 0.025*rad -103.005729746936*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50511 
det1_tracker_vertex_Vertex_5_12  |                root  |det1_tracker_vertex_Vertex_5_12  |    -11.5443211747423*cm -9.68677183660252*cm 5*cm  |    0*deg 0.025*rad -123.00630272163*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50512 
det1_tracker_vertex_Vertex_5_13  |                root  |det1_tracker_vertex_Vertex_5_13  |     -7.5350461759634*cm -13.0509761752177*cm 5*cm  |   0*deg 0.025*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50513 
det1_tracker_vertex_Vertex_5_14  |                root  |det1_tracker_vertex_Vertex_5_14  |    -2.61693492262834*cm -14.8410428073882*cm 5*cm  |   0*deg 0.025*rad -163.007448671017*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50514 
det1_tracker_vertex_Vertex_5_15  |                root  |det1_tracker_vertex_Vertex_5_15  |     2.61681677642627*cm -14.8410636397333*cm 5*cm  |   0*deg 0.025*rad -183.008021645711*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50515 
det1_tracker_vertex_Vertex_5_16  |                root  |det1_tracker_vertex_Vertex_5_16  |      7.53494227991312*cm -13.051036159569*cm 5*cm  |   0*deg 0.025*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50516 
det1_tracker_vertex_Vertex_5_17  |                root  |det1_tracker_vertex_Vertex_5_17  |     11.5442440602199*cm -9.68686373797408*cm 5*cm  |   0*deg 0.025*rad -223.009167595098*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50517 
det1_tracker_vertex_Vertex_5_18  |                root  |det1_tracker_vertex_Vertex_5_18  |     14.1611419602638*cm -5.15431454038814*cm 5*cm  |   0*deg 0.025*rad -243.009740569791*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 36*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50518 
det1_tracker_vertex_Vertex_6_1  |                root  |det1_tracker_vertex_Vertex_6_1  |                                18.07*cm 0*cm 5*cm  |                  0*deg 0.025*rad 97*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50601 
det1_tracker_vertex_Vertex_6_2  |                root  |det1_tracker_vertex_Vertex_6_2  |      17.4542807152487*cm 4.67685628529424*cm 5*cm  |    0*deg 0.025*rad 81.9995702689798*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 40*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50602 
